,,,,,,,,,,,,,Asignatura,Nombre Asig.,Créditos Asignatura,Asig. Referenciadas,Sección,Descrip. Evento,Horario,Profesor,Sede,Cat. Paquete,Paquete,Vac. Paquete
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2200,LAS ESCUELAS DE TEORÍA ECONÓMICA EN EL S,5,,Sección 1,CÁTEDRA DE FG01,MA JU 13:00 - 14:20,ABBOTT FELIPE ALBERTO,S-SANTIAGO,Vacantes FG,CFG2200_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2202,"DESIGUALDAD:DEFINICIÓN,MEDICIÓN Y CASOS",5,,Sección 1,CÁTEDRA DE FG01,JU 11:30 - 14:20,PUENTES GERMAN ADOLFO,S-HUECHURABA,Vacantes FG,CFG2202_FG01,45
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2203,EDUCACIÓN SUPERIOR EN CHILE: DESAFÍOS Y,5,,Sección 1,CÁTEDRA DE FG01,LU JU 11:30 - 12:50,MONTT PEDRO NOLASCO,S-SANTIAGO,Vacantes FG,CFG2203_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2208,EL DOCUMENTAL EN AMÉRICA LATINA: UN RELA,5,,Sección 1,CÁTEDRA DE FG01,MA 13:00 - 15:50,ROBLES GILBERTO ALFREDO,S-SANTIAGO,Vacantes FG,CFG2308_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2209,CONSTRUCCIÓN SOCIAL DE LA ENFERMEDAD:CI,5,,Sección 1,B-LEARNING FG01,VI 11:30 - 14:20,PAVEZ MELISA PAZ,S-SANTIAGO,Vacantes FG,CFG2209_FG01,55
,,,,,,,,,,,,,CFG2209,CONSTRUCCIÓN SOCIAL DE LA ENFERMEDAD:CI,5,,Sección 1,B-LEARNING FG01,VI 11:30 - 14:20,BARRERO LINA MARIA,S-SANTIAGO,Vacantes FG,CFG2209_FG01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2222,CIUDADES SUSTENTABLES:DESAFÍOS EN AMÉRIC,5,,Sección 1,CÁTEDRA DE FG01,MI 14:30 - 17:20,BRAVO MARIA JOSE,S-SANTIAGO,Vacantes FG,CFG2222_FG01,55
,,,,,,,,,,,,,CFG2222,CIUDADES SUSTENTABLES:DESAFÍOS EN AMÉRIC,5,,Sección 1,CÁTEDRA DE FG01,MI 14:30 - 17:20,SCHMIDT FRANCISCO JAVIER,S-SANTIAGO,Vacantes FG,CFG2222_FG01,
