,,,,,,,,,,,,,Asignatura,Nombre Asig.,Créditos Asignatura,Asig. Referenciadas,Sección,Descrip. Evento,Horario,Profesor,Sede,Cat. Paquete,Paquete,Vac. Paquete
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 5,LABORATORIO 05,MI 13:00 - 14:20,OLIVARES MARCO ANDRES,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC05,17
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 5,CÁTEDRA 03,LU JU 13:00 - 14:20,OLIVARES MARCO ANDRES,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC05,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 5,AYUDANTÍA OBLIGATORIA 03,VI 13:00 - 14:20,,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC05,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 6,LABORATORIO 06,MI 13:00 - 14:20,OLIVARES MARCO ANDRES,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC06,18
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 6,CÁTEDRA 03,LU JU 13:00 - 14:20,OLIVARES MARCO ANDRES,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC06,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 6,AYUDANTÍA OBLIGATORIA 03,VI 13:00 - 14:20,,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC06,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 7,LABORATORIO 07,MA 16:00 - 17:20,PAREDES DANIELA VICTORIA,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC07,17
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 7,AYUDANTÍA OBLIGATORIA 04,MI 16:00 - 17:20,,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC07,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 7,CÁTEDRA 04,LU JU 16:00 - 17:20,PAREDES DANIELA VICTORIA,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC07,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 8,LABORATORIO 08,MA 16:00 - 17:20,PAREDES DANIELA VICTORIA,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC08,18
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 8,AYUDANTÍA OBLIGATORIA 04,MI 16:00 - 17:20,,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC08,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 8,CÁTEDRA 04,LU JU 16:00 - 17:20,PAREDES DANIELA VICTORIA,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC08,
,,,,,,,,,,,,,,,,,,,,,,,,
